Municipality Name,Region of the County,"Above or Below County Median Household Income Amount of $72,121",Member of a Solid Waste Agency?,Pounds of Waste Generated Per Household Per Day,2022 Recycling Rate %,2022 Diversion Rate %,Municipality Provides Recycling Services to Their Residents,Does the Municipality Have a Yard Waste Program?,Does the Municipality have a Food Scrap Program?,Does the Municipality have a Co-Mingled Organics Program? (Food and Yard waste),Does the Municpality have a Single Source Food Scrap Program?
Arlington Heights,North,Above,1,8.61,24%,35%,1,1,1,1,0
Barrington,North,Above,1,9.18,21%,41%,1,1,1,1,0
Barrington Hills,North,Above,0,14.17,7%,7%,1,0,0,0,0
Bartlett,North,Above,0,8.87,20%,30%,1,1,0,0,0
Buffalo Grove,North,Above,1,9.37,17%,18%,1,1,0,0,0
Deer Park,North,Above,0,10.36,19%,29%,1,1,0,0,0
Deerfield,North,Above,0,7.39,26%,37%,1,1,0,0,0
Des Plaines,North,Above,0,7.86,19%,31%,1,1,0,0,0
Elgin,North,Above,0,6.68,23%,30%,1,1,1,1,0
Elk Grove Village,North,Above,1,5.83,19%,24%,1,1,0,0,0
Evanston,North,Above,1,9.17,29%,42%,1,1,1,1,1
Glencoe,North,Above,1,7.33,33%,37%,1,1,1,1,1
Glenview,North,Above,1,8.85,27%,34%,1,1,1,1,0
Golf,North,Above,0,6.12,31%,53%,1,1,0,0,0
Hanover Park,North,Above,0,8.81,18%,24%,1,1,0,0,0
Hoffman Estates,North,Above,1,8.46,23%,28%,1,1,0,0,0
Inverness,North,Above,1,8.11,25%,32%,1,1,0,0,0
Kenilworth,North,Above,1,7.94,25%,25%,1,1,0,0,0
Lincolnwood,North,Above,1,9.27,21%,25%,1,1,0,0,0
Morton Grove,North,Above,1,8.3,23%,27%,1,1,1,1,1
Mount Prospect,North,Above,1,8.44,21%,34%,1,1,1,1,0
Niles,North,Below ,1,8.32,21%,26%,1,1,0,0,0
Northbrook,North,Above,0,5.65,26%,32%,1,1,1,1,0
Northfield,North,Above,0,6.29,26%,36%,1,1,0,0,0
Palatine,North,Above,1,8.1,24%,34%,1,1,0,0,0
Park Ridge,North,Above,1,9.49,22%,36%,1,1,1,1,1
Prospect Heights,North,Above,1,10.13,18%,35%,1,1,0,0,0
Rolling Meadows,North,Above,1,7.57,26%,37%,1,1,0,0,0
Roselle,North,Above,0,9.6,25%,27%,1,1,0,0,0
Schaumburg,North,Above,0,3.94,19%,34%,1,1,0,0,0
Skokie,North,Above,1,7.08,18%,21%,1,1,1,0,1
South Barrington,North,Above,1,8.41,26%,29%,1,1,0,0,0
Streamwood,North,Above,0,10.97,18%,28%,1,1,0,0,0
Wheeling,North,Below ,1,8.18,17%,20%,1,1,0,0,0
Wilmette,North,Above,1,7.49,27%,32%,1,1,1,1,0
Winnetka,North,Above,1,11.42,20%,35%,1,1,1,0,1
Alsip,South,Below ,0,6.97,18%,30%,1,1,0,0,0
Blue Island,South,Below ,0,9.16,18%,19%,1,1,0,0,0
Burnham,South,Below ,0,5.98,0%,0%,0,0,0,0,0
Calumet City,South,Below ,0,6.84,12%,13%,1,1,0,0,0
Calumet Park,South,Below ,0,6.15,40%,40%,1,0,0,0,0
Chicago Heights,South,Below ,0,7.6,3%,11%,1,1,0,0,0
Chicago Ridge,South,Below ,0,8.13,17%,36%,1,1,0,0,0
Country Club Hills,South,Below ,0,6.45,7%,12%,1,1,0,0,0
Crestwood,South,Below ,0,4.44,12%,20%,1,1,0,0,0
Dixmoor,South,Below ,0,9.35,0%,0%,0,0,0,0,0
Dolton,South,Below ,0,8.7,5%,6%,0,1,0,0,0
East Hazel Crest,South,Below ,0,7.35,5%,11%,1,1,0,0,0
Evergreen Park,South,Above,0,8.38,16%,31%,1,1,0,0,0
Flossmoor,South,Above,0,11.82,10%,19%,1,1,0,0,0
Ford Heights,South,Below ,0,13.71,2%,4%,0,1,0,0,0
Frankfort,South,Above,0,10.11,15%,24%,1,1,0,0,0
Glenwood,South,Below ,0,8.66,10%,18%,1,1,0,0,0
Harvey,South,Below ,0,8.82,0%,3%,0,1,0,0,0
Hazel Crest,South,Below ,0,7.53,7%,11%,1,1,0,0,0
Hickory Hills,South,Below ,0,9.75,16%,34%,1,1,0,0,0
Homer Glen,South,Above,0,11.62,15%,28%,1,1,0,0,0
Homewood,South,Above,0,8.13,13%,24%,1,1,0,0,0
Lansing,South,Below ,0,9.18,16%,30%,1,1,0,0,0
Lemont,South,Above,0,8.48,21%,34%,1,1,0,0,0
Lynwood,South,Above,0,12.21,5%,8%,1,1,0,0,0
Markham,South,Below ,0,8.56,0%,0%,0,0,0,0,0
Matteson,South,Above,0,7.18,9%,14%,1,1,0,0,0
Merrionette Park,South,Below ,0,6.42,13%,13%,1,0,0,0,0
Midlothian,South,Below ,0,9.43,11%,22%,1,1,0,0,0
Oak Forest,South,Above,0,10.8,12%,23%,1,1,0,0,0
Oak Lawn,South,Below ,0,10.01,17%,31%,1,1,0,0,0
Olympia Fields,South,Above,0,10.2,10%,20%,1,1,0,0,0
Orland Hills,South,Above,0,8.09,10%,26%,1,1,0,0,0
Orland Park,South,Above,0,8.08,18%,35%,1,1,0,0,0
Palos Heights,South,Above,0,9.7,15%,30%,1,1,0,0,0
Palos Hills,South,Below ,0,10.88,18%,36%,1,1,0,0,0
Palos Park,South,Above,0,19.99,11%,15%,1,1,0,0,0
Park Forest,South,Below ,0,9.07,11%,18%,1,1,0,0,0
Phoenix,South,Below ,0,8.39,0%,0%,0,0,0,0,0
Posen,South,Below ,0,10.29,0%,0%,0,0,0,0,0
Richton Park,South,Below ,0,8.51,8%,12%,1,1,0,0,0
Riverdale,South,Below ,0,6.74,14%,14%,1,1,0,0,0
Robbins,South,Below ,0,7.18,0%,0%,0,0,0,0,0
Sauk Village,South,Below ,0,7.59,0%,2%,1,1,0,0,0
South Chicago Heights,South,Below ,0,3.35,22%,24%,1,1,0,0,0
South Holland,South,Below ,0,8.89,9%,22%,1,1,0,0,0
Steger,South,Below ,0,9.29,10%,17%,1,1,0,0,0
Thornton,South,Below ,0,3.16,16%,16%,1,1,0,0,0
Tinley Park,South,Above,0,11.41,14%,27%,1,1,0,0,0
University Park,South,Below ,0,5.47,2%,4%,1,1,0,0,0
Worth,South,Below ,0,4.79,11%,26%,1,1,1,1,0
Bedford Park,West,Above,0,10.46,9%,9%,1,0,0,0,0
Bellwood,West,Below ,1,8,12%,12%,1,1,0,0,0
Bensenville,West,Below ,0,8.88,16%,27%,1,1,0,0,0
Berkeley,West,Below ,0,8.11,13%,25%,1,1,0,0,0
Berwyn,West,Below ,1,7.34,14%,22%,1,1,0,0,0
Bridgeview,West,Below ,0,8.24,24%,30%,1,1,0,0,0
Broadview,West,Below ,1,9.8,22%,25%,1,1,0,0,0
Brookfield,West,Above,1,7.89,21%,37%,1,1,0,0,0
Burbank,West,Below ,0,10.36,10%,24%,1,1,0,0,0
Burr Ridge,West,Above,0,7.94,25%,31%,1,1,0,0,0
Countryside,West,Below ,0,7.87,24%,31%,1,1,0,0,0
Elmhurst,West,Above,0,7.74,25%,33%,1,1,0,0,0
Elmwood Park,West,Below ,1,11.59,20%,26%,1,1,1,1,0
Forest Park,West,Below ,1,5.75,19%,23%,1,1,0,0,0
Forest View,West,Above,0,7.48,0%,14%,1,1,0,0,0
Franklin Park,West,Below ,1,9.31,17%,27%,1,1,0,0,0
Harwood Heights,West,Below ,1,6.45,14%,20%,1,1,0,0,0
Hillside,West,Below ,1,8.54,10%,20%,1,1,0,0,0
Hinsdale,West,Above,0,4.77,27%,31%,1,1,1,1,0
Hodgkins,West,Below ,0,16.7,38%,38%,1,1,0,0,0
Hometown,West,Below ,0,11.5,10%,16%,1,1,0,0,0
Indian Head Park,West,Above,0,6.68,22%,36%,1,1,0,0,0
Justice,West,Below ,0,11.48,17%,31%,1,1,0,0,0
La Grange,West,Above,1,6.9,29%,31%,1,1,1,1,0
La Grange Park,West,Above,1,6.87,27%,32%,1,1,0,0,0
Maywood,West,Below ,1,4.59,7%,11%,1,1,0,0,0
Mc Cook,West,Above,0,24.49,3%,23%,1,1,0,0,0
Melrose Park,West,Below ,1,7.93,6%,10%,1,1,0,0,0
Norridge,West,Above,1,10.11,2%,11%,1,1,0,0,0
North Riverside,West,Below ,1,7.05,18%,26%,1,1,0,0,0
Northlake,West,Below ,1,9.79,19%,32%,1,1,0,0,0
Oak Brook,West,Above,0,7.69,27%,27%,1,1,0,0,0
Oak Park,West,Above,1,6.02,23%,38%,1,1,1,1,0
River Forest,West,Above,1,7.14,30%,39%,1,1,1,1,0
River Grove,West,Below ,1,8.67,18%,26%,1,1,0,0,0
Riverside,West,Above,1,4.07,21%,34%,1,1,1,1,1
Rosemont,West,Below ,1,9.09,22%,25%,1,1,0,0,0
Schiller Park,West,Below ,1,6.91,30%,36%,1,1,0,0,0
Stickney,West,Below ,0,9.33,19%,36%,1,1,0,0,0
Stone Park,West,Below ,0,8.85,15%,15%,1,1,0,0,0
Summit,West,Below ,0,9,3%,10%,0,1,0,0,0
Westchester,West,Above,1,4.79,18%,30%,1,1,0,0,0
Western Springs,West,Above,1,7.03,26%,30%,1,1,0,0,0
Willow Springs,West,Above,1,7.74,23%,30%,1,1,0,0,0